,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method,latitude,longitude
34,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-08-23,11:45:00,10.2,10.2,ng/L,4,Y,16080703-02,537,33.85746227,-117.79209184
35,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-08-23,11:45:00,12.0,12.0,ng/L,4,Y,16080703-02,537,33.85746227,-117.79209184
41,US1CAOR0021,33.8632,-117.7918,90.8,2016-09-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-09-06,09:10:00,17.9,17.9,ng/L,4,Y,16090097-02,537,33.85746227,-117.79209184
40,US1CAOR0021,33.8632,-117.7918,90.8,2016-09-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-09-06,09:10:00,11.6,11.6,ng/L,4,Y,16090097-02,537,33.85746227,-117.79209184
39,US1CAOR0021,33.8632,-117.7918,90.8,2016-09-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-09-06,09:10:00,0.4,ND,ng/L,4,N,16090097-02,537,33.85746227,-117.79209184
38,US1CAOR0021,33.8632,-117.7918,90.8,2016-09-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-09-06,09:10:00,7.87,7.87,ng/L,4,Y,16090097-02,537,33.85746227,-117.79209184
36,US1CAOR0021,33.8632,-117.7918,90.8,2016-09-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-09-06,09:10:00,10.7,10.7,ng/L,4,Y,16090097-02,537,33.85746227,-117.79209184
37,US1CAOR0021,33.8632,-117.7918,90.8,2016-09-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-09-06,09:10:00,4.34,4.34,ng/L,4,Y,16090097-02,537,33.85746227,-117.79209184
42,US1CAOR0021,33.8632,-117.7918,90.8,2016-10-17,0.24,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-10-17,11:35:00,9.8,9.8,ng/L,4,Y,16100490-02,537,33.85746227,-117.79209184
43,US1CAOR0021,33.8632,-117.7918,90.8,2016-10-17,0.24,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-10-17,11:35:00,10.9,10.9,ng/L,4,Y,16100490-02,537,33.85746227,-117.79209184
44,US1CAOR0021,33.8632,-117.7918,90.8,2016-10-17,0.24,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-10-17,11:35:00,6.7,6.7,ng/L,4,Y,16100490-02,537,33.85746227,-117.79209184
45,US1CAOR0021,33.8632,-117.7918,90.8,2016-10-17,0.24,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-10-17,11:35:00,7.6,7.6,ng/L,4,Y,16100490-02,537,33.85746227,-117.79209184
46,US1CAOR0021,33.8632,-117.7918,90.8,2016-10-17,0.24,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-10-17,11:35:00,19.6,19.6,ng/L,4,Y,16100490-02,537,33.85746227,-117.79209184
47,US1CAOR0021,33.8632,-117.7918,90.8,2016-10-17,0.24,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-10-17,11:35:00,39.8,39.8,ng/L,4,Y,16100490-02,537,33.85746227,-117.79209184
53,US1CAOR0021,33.8632,-117.7918,90.8,2016-11-02,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-11-02,11:30:00,18.8,18.8,ng/L,4,Y,16110096-02,537,33.85746227,-117.79209184
52,US1CAOR0021,33.8632,-117.7918,90.8,2016-11-02,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-11-02,11:30:00,11.4,11.4,ng/L,4,Y,16110096-02,537,33.85746227,-117.79209184
51,US1CAOR0021,33.8632,-117.7918,90.8,2016-11-02,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-11-02,11:30:00,0.4,ND,ng/L,4,N,16110096-02,537,33.85746227,-117.79209184
49,US1CAOR0021,33.8632,-117.7918,90.8,2016-11-02,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-11-02,11:30:00,5.5,5.5,ng/L,4,Y,16110096-02,537,33.85746227,-117.79209184
48,US1CAOR0021,33.8632,-117.7918,90.8,2016-11-02,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-11-02,11:30:00,11.0,11.0,ng/L,4,Y,16110096-02,537,33.85746227,-117.79209184
50,US1CAOR0021,33.8632,-117.7918,90.8,2016-11-02,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-11-02,11:30:00,6.4,6.4,ng/L,4,Y,16110096-02,537,33.85746227,-117.79209184
54,US1CAOR0021,33.8632,-117.7918,90.8,2017-01-19,0.8,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-01-19,08:30:00,4.0,4.0,ng/L,4,Y,17010533-02,537,33.85746227,-117.79209184
55,US1CAOR0021,33.8632,-117.7918,90.8,2017-01-19,0.8,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-01-19,08:30:00,0.4,ND,ng/L,4,N,17010533-02,537,33.85746227,-117.79209184
56,US1CAOR0021,33.8632,-117.7918,90.8,2017-01-19,0.8,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-01-19,08:30:00,0.4,ND,ng/L,4,N,17010533-02,537,33.85746227,-117.79209184
57,US1CAOR0021,33.8632,-117.7918,90.8,2017-01-19,0.8,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-01-19,08:30:00,0.4,ND,ng/L,4,N,17010533-02,537,33.85746227,-117.79209184
58,US1CAOR0021,33.8632,-117.7918,90.8,2017-01-19,0.8,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-01-19,08:30:00,11.1,11.1,ng/L,4,Y,17010533-02,537,33.85746227,-117.79209184
59,US1CAOR0021,33.8632,-117.7918,90.8,2017-01-19,0.8,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-01-19,08:30:00,10.4,10.4,ng/L,4,Y,17010533-02,537,33.85746227,-117.79209184
62,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-02-01,08:45:00,4.4,4.4,ng/L,4,Y,17020048-02,537,33.85746227,-117.79209184
65,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-02-01,08:45:00,10.8,10.8,ng/L,4,Y,17020048-02,537,33.85746227,-117.79209184
64,US1CAOR0021,33.8632,-117.7918,90.8,2017-02-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-02-01,08:45:00,10.1,10.1,ng/L,4,Y,17020048-02,537,33.85746227,-117.79209184
