,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method,latitude,longitude
210,US1CAOR0021,33.8632,-117.7918,90.8,2018-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-04-25,10:00:00,10.7,10.7,ng/L,4,Y,18040717-02,537,33.85746227,-117.79209184
228,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
227,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
225,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-05-22,14:05:00,24.9,24.9,ng/L,4,Y,18050579-02,537,33.85746227,-117.79209184
224,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
223,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
222,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
226,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
220,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-05-22,14:05:00,18.1,18.1,ng/L,4,Y,18050579-02,537,33.85746227,-117.79209184
219,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-05-22,14:05:00,0.4,ND,ng/L,4,N,18050579-02,537,33.85746227,-117.79209184
218,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-05-22,14:05:00,7.6,7.6,ng/L,4,Y,18050579-02,537,33.85746227,-117.79209184
217,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-05-22,14:05:00,4.6,4.6,ng/L,4,Y,18050579-02,537,33.85746227,-117.79209184
216,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-05-22,14:05:00,10.9,10.9,ng/L,4,Y,18050579-02,537,33.85746227,-117.79209184
221,US1CAOR0021,33.8632,-117.7918,90.8,2018-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-05-22,14:05:00,19.9,19.9,ng/L,4,Y,18050579-02,537,33.85746227,-117.79209184
234,US1CAOR0021,33.8632,-117.7918,90.8,2018-06-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-06-05,11:55:00,27.1,27.1,ng/L,4,Y,18060104-02,537,33.85746227,-117.79209184
233,US1CAOR0021,33.8632,-117.7918,90.8,2018-06-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-06-05,11:55:00,22.0,22.0,ng/L,4,Y,18060104-02,537,33.85746227,-117.79209184
232,US1CAOR0021,33.8632,-117.7918,90.8,2018-06-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-06-05,11:55:00,0.4,ND,ng/L,4,N,18060104-02,537,33.85746227,-117.79209184
231,US1CAOR0021,33.8632,-117.7918,90.8,2018-06-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-06-05,11:55:00,12.5,12.5,ng/L,4,Y,18060104-02,537,33.85746227,-117.79209184
229,US1CAOR0021,33.8632,-117.7918,90.8,2018-06-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-06-05,11:55:00,14.8,14.8,ng/L,4,Y,18060104-02,537,33.85746227,-117.79209184
230,US1CAOR0021,33.8632,-117.7918,90.8,2018-06-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-06-05,11:55:00,6.2,6.2,ng/L,4,Y,18060104-02,537,33.85746227,-117.79209184
243,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
247,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
246,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
245,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
244,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-07-23,10:25:00,20.1,20.1,ng/L,4,Y,18070599-02,537,33.85746227,-117.79209184
242,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
239,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-07-23,10:25:00,16.5,16.5,ng/L,4,Y,18070599-02,537,33.85746227,-117.79209184
240,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-07-23,10:25:00,20.8,20.8,ng/L,4,Y,18070599-02,537,33.85746227,-117.79209184
238,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
237,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-07-23,10:25:00,7.0,7.0,ng/L,4,Y,18070599-02,537,33.85746227,-117.79209184
236,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-07-23,10:25:00,4.9,4.9,ng/L,4,Y,18070599-02,537,33.85746227,-117.79209184
235,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-07-23,10:25:00,11.4,11.4,ng/L,4,Y,18070599-02,537,33.85746227,-117.79209184
241,US1CAOR0021,33.8632,-117.7918,90.8,2018-07-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-07-23,10:25:00,0.4,ND,ng/L,4,N,18070599-02,537,33.85746227,-117.79209184
260,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
259,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
258,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
257,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-08-14,11:50:00,18.3,18.3,ng/L,4,Y,18080368-02,537,33.85746227,-117.79209184
256,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
255,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
254,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
252,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-08-14,11:50:00,19.0,19.0,ng/L,4,Y,18080368-02,537,33.85746227,-117.79209184
251,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-08-14,11:50:00,0.4,ND,ng/L,4,N,18080368-02,537,33.85746227,-117.79209184
250,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-08-14,11:50:00,6.9,6.9,ng/L,4,Y,18080368-02,537,33.85746227,-117.79209184
249,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-08-14,11:50:00,4.7,4.7,ng/L,4,Y,18080368-02,537,33.85746227,-117.79209184
248,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-08-14,11:50:00,9.9,9.9,ng/L,4,Y,18080368-02,537,33.85746227,-117.79209184
253,US1CAOR0021,33.8632,-117.7918,90.8,2018-08-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-08-14,11:50:00,20.7,20.7,ng/L,4,Y,18080368-02,537,33.85746227,-117.79209184
269,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
273,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
272,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
271,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
270,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-09-18,12:00:00,29.8,29.8,ng/L,4,Y,18090350-02,537,33.85746227,-117.79209184
268,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
266,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-09-18,12:00:00,21.7,21.7,ng/L,4,Y,18090350-02,537,33.85746227,-117.79209184
267,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
265,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-09-18,12:00:00,26.2,26.2,ng/L,4,Y,18090350-02,537,33.85746227,-117.79209184
264,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-09-18,12:00:00,0.4,ND,ng/L,4,N,18090350-02,537,33.85746227,-117.79209184
263,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-09-18,12:00:00,9.8,9.8,ng/L,4,Y,18090350-02,537,33.85746227,-117.79209184
262,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-09-18,12:00:00,6.1,6.1,ng/L,4,Y,18090350-02,537,33.85746227,-117.79209184
261,US1CAOR0021,33.8632,-117.7918,90.8,2018-09-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-09-18,12:00:00,14.8,14.8,ng/L,4,Y,18090350-02,537,33.85746227,-117.79209184
286,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
285,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
284,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
283,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-10-22,12:35:00,25.0,25.0,ng/L,4,Y,18100715-02,537,33.85746227,-117.79209184
282,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
281,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
280,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
279,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-10-22,12:35:00,20.5,20.5,ng/L,4,Y,18100715-02,537,33.85746227,-117.79209184
278,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-10-22,12:35:00,17.7,17.7,ng/L,4,Y,18100715-02,537,33.85746227,-117.79209184
277,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-10-22,12:35:00,0.4,ND,ng/L,4,N,18100715-02,537,33.85746227,-117.79209184
276,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-10-22,12:35:00,7.6,7.6,ng/L,4,Y,18100715-02,537,33.85746227,-117.79209184
275,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-10-22,12:35:00,6.5,6.5,ng/L,4,Y,18100715-02,537,33.85746227,-117.79209184
274,US1CAOR0021,33.8632,-117.7918,90.8,2018-10-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-10-22,12:35:00,11.8,11.8,ng/L,4,Y,18100715-02,537,33.85746227,-117.79209184
299,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
298,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
297,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
296,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-11-07,09:45:00,23.2,23.2,ng/L,4,Y,18110189-02,537,33.85746227,-117.79209184
295,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
294,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
293,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
291,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-11-07,09:45:00,19.0,19.0,ng/L,4,Y,18110189-02,537,33.85746227,-117.79209184
290,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-11-07,09:45:00,0.4,ND,ng/L,4,N,18110189-02,537,33.85746227,-117.79209184
289,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-11-07,09:45:00,7.8,7.8,ng/L,4,Y,18110189-02,537,33.85746227,-117.79209184
288,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-11-07,09:45:00,5.3,5.3,ng/L,4,Y,18110189-02,537,33.85746227,-117.79209184
287,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-11-07,09:45:00,11.1,11.1,ng/L,4,Y,18110189-02,537,33.85746227,-117.79209184
292,US1CAOR0021,33.8632,-117.7918,90.8,2018-11-07,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-11-07,09:45:00,17.8,17.8,ng/L,4,Y,18110189-02,537,33.85746227,-117.79209184
304,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-12-04,13:15:00,21.6,21.6,ng/L,4,Y,18120064-02,537,33.85746227,-117.79209184
310,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
309,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-12-04,13:15:00,28.6,28.6,ng/L,4,Y,18120064-02,537,33.85746227,-117.79209184
308,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
307,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
306,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
303,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
311,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
302,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-12-04,13:15:00,6.6,6.6,ng/L,4,Y,18120064-02,537,33.85746227,-117.79209184
301,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-12-04,13:15:00,5.8,5.8,ng/L,4,Y,18120064-02,537,33.85746227,-117.79209184
300,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2018-12-04,13:15:00,10.0,10.0,ng/L,4,Y,18120064-02,537,33.85746227,-117.79209184
305,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-12-04,13:15:00,16.8,16.8,ng/L,4,Y,18120064-02,537,33.85746227,-117.79209184
312,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-04,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-12-04,13:15:00,0.4,ND,ng/L,4,N,18120064-02,537,33.85746227,-117.79209184
321,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluorododecanoic acid,PFDoA,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
322,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluorohexanoic acid,PFHxA,2018-12-18,13:15:00,22.2,22.2,ng/L,4,Y,18120400-02,537,33.85746227,-117.79209184
320,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluorodecanoic acid,PFDA,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
324,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluorotridecanoic acid,PFTrDA,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
325,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoroundecanoic acid,PFUnA,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
323,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluorotetradecanoic acid,PFTA,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
319,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
315,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2018-12-18,13:15:00,8.5,8.5,ng/L,4,Y,18120400-02,537,33.85746227,-117.79209184
317,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2018-12-18,13:15:00,19.4,19.4,ng/L,4,Y,18120400-02,537,33.85746227,-117.79209184
316,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2018-12-18,13:15:00,0.4,ND,ng/L,4,N,18120400-02,537,33.85746227,-117.79209184
318,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2018-12-18,13:15:00,17.1,17.1,ng/L,4,Y,18120400-02,537,33.85746227,-117.79209184
314,US1CAOR0021,33.8632,-117.7918,90.8,2018-12-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2018-12-18,13:15:00,5.4,5.4,ng/L,4,Y,18120400-02,537,33.85746227,-117.79209184
