Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,8/29/2017,10:10,8.6,8.6,ng/L,4,Y,17080783-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,9/29/2017,10:30,9,9.0,ng/L,4,Y,17090751-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,10/11/2017,12:40,8.5,8.5,ng/L,4,Y,17100389-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,11/8/2017,10:20,8.8,8.8,ng/L,4,Y,17110223-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,11/20/2017,11:40,7,7.0,ng/L,4,Y,17110511-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,1/9/2018,13:30,5.6,5.6,ng/L,4,Y,18010222-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,1/10/2018,9:20,4.9,4.9,ng/L,4,Y,18010262-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2/21/2018,12:55,11,11.0,ng/L,4,Y,18020589-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,3/6/2018,12:30,9.8,9.8,ng/L,2,Y,440-205458-1,537MOD
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,3/6/2018,12:30,8.5,8.5,ng/L,4,Y,18030133-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,4/25/2018,10:00,7.5,7.5,ng/L,4,Y,18040717-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,5/22/2018,14:05,7.6,7.6,ng/L,4,Y,18050579-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,6/5/2018,11:55,12.5,12.5,ng/L,4,Y,18060104-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,7/23/2018,10:25,7,7.0,ng/L,4,Y,18070599-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,8/14/2018,11:50,6.9,6.9,ng/L,4,Y,18080368-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,9/18/2018,12:00,9.8,9.8,ng/L,4,Y,18090350-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,10/22/2018,12:35,7.6,7.6,ng/L,4,Y,18100715-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,11/7/2018,9:45,7.8,7.8,ng/L,4,Y,18110189-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,12/4/2018,13:15,6.6,6.6,ng/L,4,Y,18120064-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,12/18/2018,13:15,8.5,8.5,ng/L,4,Y,18120400-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,1/9/2019,14:10,12,12.0,ng/L,4,Y,19010196-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,1/17/2019,14:15,0.4,ND,ng/L,4,N,19010402-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2/5/2019,13:45,4.4,4.4,ng/L,4,Y,19020068-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2/20/2019,13:00,5.3,5.3,ng/L,4,Y,19020428-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,3/21/2019,11:50,8.2,8.2,ng/L,4,Y,19030524-02,537RV1.1
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,4/9/2019,11:45,7.9,7.9,ng/L,4,Y,19040286-02,537RV1.1
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,5/7/2019,9:50,10.9,10.9,ng/L,4,Y,19050172-02,537RV1.1
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,6/4/2019,11:35,13.3,13.3,ng/L,4,Y,19060084-02,537RV1.1
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,6/14/2016,12:10,2,ND,ng/L,20,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/5/2016,11:35,2,ND,ng/L,20,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/14/2016,9:30,2,ND,ng/L,20,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/26/2016,8:40,2,ND,ng/L,20,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,8/9/2016,11:55,2,ND,ng/L,20,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,8/23/2016,11:45,0.4,ND,ng/L,4,N,16080703-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,9/6/2016,9:10,0.4,ND,ng/L,4,N,16090097-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,10/17/2016,11:35,7.6,7.6,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,11/2/2016,11:30,0.4,ND,ng/L,4,N,16110096-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,1/19/2017,8:30,0.4,ND,ng/L,4,N,17010533-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2/1/2017,8:45,0.4,ND,ng/L,4,N,17020048-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2/14/2017,11:45,0.4,ND,ng/L,4,N,17020372-02,537
